;0
games-played;0.7828813612588128
total-points;1.0
total-wins;0.9924435624679001
total-losses;-0.9815496213923349
goals;0.9250535992367763
goals-against;-0.9570504143365602
passes-accuracy;0.8272355479036684
accurate-pass;0.8536558225720917
total-pass;0.8670753137920367
accurate-pass-percentage;0.8272355479036684
assists;0.7903731339623271
total-attacking-assist;0.7903731339623271
accurate-long-balls;0.742122642398247
long-ball-percentage;0.7965951858531332
long-passes-successful;0.742122642398247
total-scoring-attempts;0.8232472136668426
on-target-scoring-attempts;0.866027311263245
chances-created;0.7774787858616221
goalkeeper-saves;-0.7143190238727584
short-pass-attempts;0.8546771743476623
home-wins;0.9274135127142642
home-losses;-0.9810966578862842
away-wins;0.9273500421843236
away-losses;-0.9076784576005381
home-goals-scored;0.8864338576069926
home-goals-conceded;-0.9431325307120431
away-goals-conceded;-0.8967818435479971
Possession Percentage;0.7984421010275983
Catches;-0.7143190238727584
Clean Sheets;0.956890515521978
Games Played;0.7828813612588128
Goal Assists;0.7903731339623271
Goal Conversion;0.7092596400369213
Goals;0.9250535992367763
Goals Conceded;-0.9570504143365602
Goals Conceded Inside Box;-0.9160469167636611
Goals Openplay;0.8949498239797641
Goals from Inside Box;0.9648937721167592
Ground Duels won;0.7735886384337433
Hit Woodwork;0.7720546812745294
Key Passes (Attempt Assists);0.7774787858616221
Open Play Passes;0.8572175297824514
Overruns;0.8002752171786849
Passing % Opp Half;0.901125011972679
Passing Accuracy;0.8354193416132316
Points Dropped from Winning Positions;-0.7584599046850311
Right Foot Goals;0.7911455296840765
Shots Off Target (inc woodwork);0.7374840810968061
Shots On Conceded Inside Box;-0.8567396830472189
Shots On Target ( inc goals );0.866027311263245
Successful Dribbles;0.8544447554532999
Successful Long Passes;0.742122642398247
Successful Open Play Passes;0.8494510728340003
Successful Passes Opposition Half;0.9465884044833137
Successful Short Passes;0.8357490448739597
Total Passes;0.8551646970690598
Total Shots;0.8232472136668426
Total Successful Passes ( Excl Crosses & Corners ) ;0.8536558225720917
Home Goals;0.8695155974056641
Away Goals;0.7172131444371392
Penalties Saved;-0.9912407071619305
